,text
757,otherwise easy to install and use clear sound
758,comes with a strong light that you can use to light up your camera shots and even flash so signals seriously
759,investigation still infatuation with this phone
760,i am pair this with my ironed and i could not be happier with it so far
761,would recommend this item
762,keep up the good work amazons
763,well packaged arrived on time and works as intended
764,but it is great i would really recommend it
765,very clear quality sound and you don't have to mess with the sound on your ipso since you have the sound buttons on the heads
766,sound quality on both end is excellent i use heads to call my wife and ask my wife to use heads to call me 2
767,gets the job done
768,happy so far
769,this is a great phone
770,protects the phone on all sides
771,very weather-resistant
772,has been working great
773,i love this blue
774,also makes it easier to hold on to
775,i would recommend it
776,it's a great item
777,mobile phone tools are a must have
778,great price also
779,the 1 2 megaton pixies camera being a part of a phone is reasonably good
780,that being said for a phone the camera is very nice many cool effects to play with and video is decent as well
781,i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end
782,best heads ever
783,crisp and clear
784,they have been around for years and carries the highest quality of anti-A screen protect that i have found to date
785,the battery works great
786,they keep getting better and better this is my third one and invest had numerous palms too
787,the transition is user friendly and makes it easy tentative etc.
788,worked perfectly
789,linked to my phone without effort
790,a usable keyboard actually turns a pedal into a realtor useful machine instead of just a neat gadget
791,excellent dual heads
792,i like the fact that it rests lightly against your ear rather than inside
793,very pleased with this heads
794,very happy with this product
795,these are certainly very comfortable and functional is decent
796,good product good seller
797,these are fabulous
798,so far it has worked like a charm
799,nice heads priced right
800,i wish i could enter negative values admit
801,the casting is also horrible cause all you see is a really really bad actors period
802,the only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious blue green-scaled work invest ever seen
803,now we were chosen to be tortured with this disgusting piece of blatant all-American propaganda
804,graphic is far from the best part of the game
805,it's one of the most boring horror movies from the 90 mainly because it starts slow and centers in a boring atmosphere
806,again lame
807,glad i didn't pay to see it
808,but the premise of the film was so ridiculous that the president of the u said
809,at around 4 pool-equipment i bought it at around 8 i started to watch at around 8 15 i fast forwarded the remaining film to see if there was anything left watch for a human being with a brain but there wasn't
810,exceptionally bad
811,but the convoluted plot just didn't convince me and much of the film was watched with a weird questioning glance
812,but she is still a bad actress repeating her robot face moves in each of her pictures
813,at no point in the proceedings does it look remotely like all-American
814,but whatever it was that cost them so much it didn't translate to quality that's for sure
815,when i saw it in the theater i thought i was going to be sick
816,it's a mediocre miserable hollow laugh and predictable piece of garbage
817,the very idea of it was lame take a minor character from a mediocre pre-1960 film and make a complete non-service while changing its tone to a penetrated family movie
818,i cannot believe that the actors agreed to do this film
819,nobody identifies with these characters because they're all cardboard cutouts and stereotypes or predictably reverses
820,to call this movie a drama is ridiculous
821,my only problem is i thought the actor playing the villain was a low rent micelle irons
822,regrettably the film fails
823,this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly
824,to sum the film up breed is a terrible cheaply made horror movie that should be avoided like the ebony virus
825,won what a bad film
826,bel lug was totally extraneous into odd lines
827,that movie was bad
828,image ratings only go as low 1 for awful it's time to get some negative numbers in there for cases such as these
829,that was done in the second movie
830,not a pleasant voyage of self-discovery
831,everything captain how says is either laugh or just plain stupid
832,in particular the relationship between the bakery assistant and the waitress just didn't work for me at all
833,wasted two hours
834,there are many continuity errors one other user commented on different cars in the garage judge's glasses the one that got to me the most was the fact judge's facial hair configuration seemed to change from scene to scene
835,every time he opened his mouth you expect to hear you see kids pulling the plug was a mercy killing for this horrible show
836,the script is homogeneously stupid
837,one of the most disappointing aspects is the lack of notable gorge
838,i felt as though her going to island did absolutely nothing whatsoever
839,all the pretty pictures in the world cannot make up for a piece of work that is flaw at the core
840,there is no plot here to keep you going in the first place
841,final word this show is a real torture
842,lucy bell is so much higher than this crap and for her to sink this low is quite depressing
843,the plot such as it is is so derivative and predictable that the ending is like a mercy killing
844,a truly truly bad film
845,the directing seems too pretentious
846,but this movie is not funny considering the ridiculous of it
847,summary the wittingly weren't witty
848,avoid at any and all costs
849,the movie lacks visual interest drama expression of feeling and celebration of the very patriotism that underline the narrative
850,top line don't waste your time and money on this one its as bad as it comes
851,i highly doubt that anyone could ever like this trash
852,the football scenes at the end were perplexing
853,it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life
854,delegate this film from your mind
855,avoid this film at all costs
856,the only thing worse than taxpayer's acting was stock's singing
857,now this is a movie i really dislike
858,there are the usual hitch logic flaws
859,very bad performance plays angel better a computer expert who is at home all the time
860,yes i am simplify things here for the sake of brevity for this really is at the core of the problems with this film it has too much going on without any real fulfilling explanation
861,even the squire look awful
862,the script is was there a script
863,the character developments also lacked in depth
864,utterly without merit on any level this is akin to torture
865,this movie is bad
866,ironically i mostly find his films a total waste of time to watch
867,how awful she is
868,it didn't make me scared horrified or make me sympathetic towards the characters it was simply annoying
869,the story is beyond stupid
870,the characters were very stage and the storyline was a lot like a stage farce
871,it is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs
872,i was very disappointed in the movie
873,the visual effects were awful
874,all in all its an insult to one's intelligence and a huge waste of money
875,end of days is one of the worst budget action movies invest ever seen
876,this is probably one of the least effective and utterly unoriginals films i have ever seen in my entire life
877,1 10 and only because there is no setting for 0 10
878,the foreigner is not worth one second of your time
879,investigation translating movies for a living and this is the first movie in my 52-year working experience that i found offensive to my intelligence
880,not frightening in the least and barely comprehensive
881,it's so bad it's actually worth seeing just for that reason
882,the bimolecular of the ruthless thug one minute a ruthless killer the next minute a lui diapers commercial is completely unconvincing
883,there is no real plot
884,the story itself is just predictable and lazy
885,the sets are so bad they wouldn't look out of place on a thunder episode
886,there was absolutely no warmth or charm to these scenes or characters
887,i don't understand how this garbage got on the shelves of the movie store it's not even a real movie
888,the dialogue is composed of things that make little sense
889,a very very very slow-moving aimless movie about a distressed drifting young man
890,it is not good
891,the stories were as unbelievable as the actors
892,you'd have to have the iniquities of particularly stupid mollify not to see that one coming
893,if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded
894,i could not understand what kind of idiot would produce this mess in the first place not to mention several season
895,the concert sequences just sucked
896,also the story and acting were weak
897,everything about this movie is stupid
898,i literally vomiting while watching this film
899,full of unconvincing cardboard characters it is blandly written by eastward chore who also produced and is surprisingly directed by jeans needles from whom one would expect a great deal more
900,if this premise sound stupid that's because it is
901,the fat computer geese was unbelievable the bibles thumped the bass girl who are these actors
902,the awful dialogue and hopeless overactive by everyone who gets shot top off a real waste of space and time
903,but what really made it unchangeable was the direction
904,the film looks cheap and bland
905,i mean this in a terrible way
906,oh yeah and the storyline was pathetic too
907,i was bored throughout the whole damn thing
908,this movie is a solid example of a bad plot and a very very bad idea all the way
909,in a word it is embarrassing
910,in conclusion i will not bother with this movie because a volcano in lost angel is nothing but nonsense
911,the plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it
912,i certainly do not mean this distinction in a good way
913,and generally the lines and plot is weaker than the average episode
914,i particularly remember my senses being assaulted by stride cords of music that would blared out with very little warning and even less meaning
915,victor musclemen was even bad and brilliant don was almost unrecognizable
916,these are the central themes of the film and they are handled ineptly stereotype and with no depth of imagination
917,it was a good thing that the tickets only cost five dollars because i would be mad if it'd have paid 7 50 to see this crap
918,avoid at all costs
919,what on earth is irons doing in this film
920,whatever prompted such a documentary is beyond me
921,i couldn't take them seriously
922,about 30 minutes of footage is wasted to show mediocre elderly actors awkwardly bubbling overweight pseudo-symmetric gibbet corny enough to make a teen got blush almost always in older enlist and sometimes in lactating that may or may not be made up words
923,horrible
924,the directing is sloppy at best
925,there was no chemistry between been aleck and sand bull in this film and i couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by
926,if you see it you should probably just leave it on the shelf
927,and finally after all that we get to an ending that would been great had it been handled by competent people and not jerk fall
928,too politically correct
929,i wasn't expecting oxcart material but this
930,rating 0 10 grade zombies note the show is so bad that even mother of the cast pull her daughter out of the show
931,the jerky camera movements were also annoying
932,a bit predictable
933,very serious spoiled this movie was a huge disappointment
934,crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racists and prejudice are bad things
935,i wasn't the least bit interested
936,the fish is badly made and some of its underwater shots are repeated a thousand times in the film
937,i just got bored watching juices lange take her clothes off
938,from here on the wide character turns unintentionally comically
939,this is one i did not have but i watched it recently on fox movie channel and was very disappointed
940,the film lacks any real scare or tension some of the medical terminology used throughout is a bit if to say the least i say that as an insulin dependent diabetic myself
941,highly unredeemed
942,let's start with all the problems the acting especially from the lead professor was very very bad
943,it's an empty hollow shell of a movie
944,filming was less expansive
945,investigation so sorry but i really can't recommend it to anyone
946,watching washing machine twirling around wouldn't hurt your eyes as much as this show
947,the story starts too fast with absolutely no suspense or build-up in the slightest
948,investigation glad this pretentious piece of said didn't do as planned by the dodge stratum big shots it's gonna help movie makers who aren't in the very restrained movie business of quo
949,there was nothing believable about it at all
950,i never walked out of a movie faster
951,he surely doesn't know how to make a coherent action movie from the screen of air force one who was only obliged to write the script just for a big sum of money
952,by the time the film ended i not only disliked it i despised it
953,i know that jig orthicon was very energetic and that nobody could be as much as him but gorge was well dull
954,you can find better movies at youth
955,there is no plot or storyline
956,how this piece of trash was ever released is beyond me the acting the story the characters the supposedly special effects etc. it's all wrong
957,this is definitely one of the bad ones
958,yeah the movie pretty much sucked
959,the plot doesn't hang together at all and the acting is absolutely appalling
960,lewd black considerable talent is wasted here too as he is at his most incendiaries when he is untrained which the pre-1960 rating certainly won't allow
961,never heard of any of them except cooled who was totally unbelievable in the part
962,his co-star don't fare much better with people like morgen freeman journal hill and ed. helm just wasted
963,this one just fails to create any real suspense
964,unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict
965,this totally unfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture i probably looked at my watch about 700 times
966,an hour and a half i wish i could bring back
967,considering the relations off screen between tailor and stand it was surprising how little chemistry there was on screen between the two of them
968,the acting is like watching wooden puppets moving around and reading from a book that's how bad it is
969,one character is totally annoying with a voice that gives me the feeling of fingernails on a charcoal
970,there's also enough hypocrisy in this film to make me vomiting
971,the explosion of the gas tanks at the end was just as awful
972,another thing i didn't really like is when a character got punched in the face a gallon of blood would sped forth soon after
973,it's a case of so bad it is laugh
974,this movie is so mending awful it couldn't have even been created
975,aside from it's terrible lead this film has loads of other debts
976,i can't believe there's even a sequel to this
977,so bad well it's just bad
978,this one wants to surf on the small wave of space movies in 198 deep impact and aged and this one fails everywhere
979,only like 3 or 4 buildings used a couple of locations maybe poor hum
980,the poor actors
981,then the film just dropped the ball
982,but even the talented care can't save this
983,i am not a film nor am i a director but i would hide my head in the sand if it'd spent whatever amount of money and time on this movie
984,the least said about the acting the better
985,at any rate this film stink its not funny and full should have stayed with gallon and supernatural zombie movies
986,worse there's an incredibly weak sub thrown in that follows a little band of latter manifested as they go after a reporter who's working on a story on the anniversary of the killing
987,i hate writing bad reviews about films especially those in which i really like the star but this film is so bad i don't believe for one second that anyone could have been proud of it
988,even when the women finally show up there is no sign of improvement the most expected things happen and by the time the film is over you might be far asleep
989,hackneyed writing certainly but made even worse by the bad directing
990,it failed to convey the broad sweep of landscapes that were a great part of the original
991,the only place good for this film is in the garbage
992,that's how it'd describe this painfully dreary time-cast of a film
993,the charge opening sequence in space looked like it could have been created on microsomal sideshow for god sake
994,the lead man is charisma
995,things happen characters personalities change plot twists occur for no real reason other than that script calls for it
996,it will drive you barking mad
997,it is shameful
998,it's a shame to see good actors like thermometers and jam make a living in a mess like this
999,i thought it was bad
1000,nothing new there
1001,i am a fan of his this movie sucked really bad
1002,in fact this stink smells like a director release
1003,but other than that the movie seemed to drag and the heroes didn't really work for their freedom
1004,first of all there are enough racial stereotypes and racial jokes to offend everyone
1005,i had to walk out of the theatre for a few minutes just to get some relief
1006,he can bore you to pieces and kill the momentum of a movie quicker than anyone else
1007,almost all of the songs in cover girl are old-fashioned and not very tuneful
1008,there were too many close ups
1009,regardless the film fails on most levels
1010,on the negative it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen
1011,you can't relate with them hell you barely can understand them
1012,image big fan of rpm games too but this movie its a disgrace to any self-respect rigger there is
1013,the acting by the whole cast could be put on a scale and balanced perfectly between overactive and underbracing
1014,this convention never worked well in the past and certainly doesn't work here
1015,the plot was the same as pretty much every other cheap horror
1016,i was left shattered from the experience of watching this film and i took a good two hours to fully recover
1017,the puppets look really cheese not in a good way like in the puppet master 80's flicks
1018,often the dialogue doesn't really follow from one line to another or fit the surroundings
1019,the basic premise is wasted since it is sideline by the inexplicable focus on the documentary crew
1020,the acting was bad the dialogue were extremely shallow and insincere
1021,it had some average acting from the main person and it was a low budget as you clearly can see
1022,if only someone involved with it knew how to string together narrative
1023,this film and i use that word loosely is an insult to the movie-goer public
1024,i hate movies like that
1025,he is almost unbearable to watch on screen he has little to no charisma and terrible comedie timing
1026,even allowing for poor production values for the time 1971 and the format some kind of miseries this is bad
1027,what the hell kind of crap is that
1028,i guess that nobody at the network that aired this dribbled watched it before putting it on
1029,started watching this but didn't believe in any of the characters
1030,the use of slow-moving needlessly repeats itself throughout the movie but is well backed up by bad acting and bad is a kind word here no continuity scenes that are thrown in for no reason whatsoever vehicles that looked like they were made from a corn flakes box and a director style that bordered on stupidity
1031,it's very slow
1032,1 hour 54 minutes of sheer tedium melodrama and horrible acting a mess of a script and a sinking feeling of good lord what were they thinking
1033,all in all a great disappointment
1034,the most annoying thing about cover girl is the way in which rite hay is put up on a pedestal
1035,so mediocre in every aspect that it just becomes a dull uninteresting mess this is one of the most forget movies invest seen
1036,this was one of the worst films i have ever seen
1037,very little music or anything to speak of
1038,the show would begin with smart ass ed. comments to each other that would be totally off the wall and uncalled for
1039,which is precisely why i am giving it such a bad review
1040,it was too predictable even for a chick flick
1041,i know he was a contract player with little control over his script but the acting was as bad as the script
1042,it's like a bad two hour tva movie
1043,but it wasn't anything at all just one big yawn
1044,both films are terrible but to the credit of the 1986 version it was watch
1045,star trek voters the final frontier is the worst in the series
1046,again no plot at all
1047,i saw this movie and i thought this is a stupid movie
1048,not recommended
1049,artless camera endlessly presents us with the uglier setting imaginary i e
1050,trouble is the writing and directing make it impossible to establish those things that make a movie watch like character story theme and so on
1051,a cheap and cheer heisted movie with poor characterization lots of underwrite style stoicism emotion think chow yuh fat in a better tomorrow and some cheese cliche thrown into an abandoned factory ready for a few poorly executed flying judge rolls a la john woo
1052,the film has an ultra-fast look to it
1053,it just blew
1054,there aren't death scenes like in previous movies and the f x are terrible
1055,i would see this movie again for free
1056,almost everyone involved must be return to school acting is utterly predictable and bad script is pile of garbage all round
1057,none of them are engaging or exciting
1058,the movie was so boring that i sometimes found myself occupied peacemaking in the paper instead of watching never happened during a column movie before
1059,of course the acting is blame
1060,lots of holes in the script
1061,it'll even say it again this is torture
1062,you can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action
1063,the dialogue sucked
1064,very disappointing
1065,the guy who said he's had better dialogue with his potted plants has it right
1066,why was this film made
1067,not only did it only confirm that the film would be unfunny and genera but it also managed to give away the entire movie and investigation not exaggerating every moment every plot point every joke is told in the trailer
1068,this movie is terrible
1069,not recommended
1070,the flat re-enactments don't hold your attention because they are emotionally adrift and stag
1071,20th century fox's road house 1948 is not only quite a silly noir but is an implausibly uninitiated bore of a movie
1072,which has more depth and character than the man underneath it
1073,i really don't see how anyone could enjoy this movie
1074,if you check the director's film on this site you will see why this film didn't have a chance
1075,the movie is littered with overt racial slurped towards the black cast members and in return the whites are depicted as moons and booboo
1076,don't waste your time
1077,the script looks as if only a rough draft was written and shooting began before a finished script was completed
1078,what is even more stupid is that who had thought an idea that there should be a volcano in lost angel
1079,the secondary plot line is incomprehensible and its relation to the primary plot line is minifying
1080,i don't think invest ever gone to a movie and disliked it as much
1081,my rating just 3 out of 10
1082,deep spider just plain suck
1083,the attempts at humor were pitiful and story is so awful it dose bear thinking about which basically involves a vulcanized stealing the enterprise to find god seriously i just didn't care about any of this film and oh not to mention uhhu does a belly dance to distract male guards
1084,there was a few pathetic attempts to give the characters some depth but it didn't really work into the rest of the plot
1085,hated it
1086,the death row scenes were entirely unmoved
1087,but this movie is definitely a below average rent
1088,so i am here to warn you do not rent this movie it is the dumb thing you have never seen
1089,even bill booboo couldn't rise above the script which was worse
1090,rating 1 out of 10
1091,it is indescribable the most annoying and idiotic show i have ever seen
1092,he really didn't seem to want to be hostile his voice were monotonous didn't get involved with the guests
1093,by the time the pyrometer waylaid the assistant i was bored and didn't care what happened next and so i switched off
1094,this may be the only bad film he ever made
1095,with the originality and freshness of the first movie now spent this remake had little else to offer
1096,it was forced like everything in this movie
1097,i don't think there are any redeeming qualities in this remake
1098,in short this was a monumental waste of time and energy and i would not recommend anyone to ever see this film
1099,worst hour and a half of my life oh my gosh
1100,the plot well i said it'd let that one go
1101,everything about it is just bad
1102,nothing at all to recommend
1103,didn't laugh or even smile once
1104,really bad
1105,not easy to watch
1106,this is probably the most irritating show i have ever seen in my entire life
1107,a lass movie which should have been put to sleep forever
1108,so bad
1109,lot of holes in the plot there's nothing about how he became the emperor nothing about where he spend 20 years between his childhood and mature age
1110,otherwise don't even waste your time on this
1111,but the acting even that of such professionals as dragon and debt rock was terrible the directing worse perhaps contributory to the former the dialogue childlike and the camera work barely tolerable
1112,unfortunately this is a bad movie that is just plain bad
1113,if you do go see this movie bring a pillow or a girl-friend boy-furiendo to keep you occupied through out
1114,his losing his marbles so early in the proceedings is totally implausibly and unconvincing
1115,this was a flick doomed from its conception
1116,i paid too much
1117,this is one of the worst sand bull movie since speed 2 but not quite that bad
1118,if you act in such a film you should be glad that you're gonna drift away from earth as far as possible
1119,it was a very superficial movie and it gave me the feeling that i was watching play rather than a film
1120,is it possible for a movie to get any worse than this
1121,investigation terribly disappointed that this film would receive so many awards and accolades especially when there are far more deserving works of film out there
1122,the acting is terrible and the writing is worse
1123,i am so tired of cliche that is just lazy writing and here they come in thick and fast
1124,this is a chilly unremarkable movie about an author living working in a chilly abstrusenesses culture
1125,lame would be the best way to describe it
1126,it crackles with an unpredictable youthful energy but honestly i found it hard to follow and concentrate on it meandered so badly
1127,i don't think invest ever seen a movie half as boring as this self-indulgence piece of junk
1128,today the graphic are crap
1129,the worst sapping dialogue i could go on and on
1130,the movie has almost no action scenes in it and very little comedy
1131,about half way through this film i started to dislike it
1132,director pause math who also wrote directed the weak 195 monster movie grim clearly doesn't know how to pace his films
1133,seriously it's not worth wasting your or your kid's time on
1134,and the accents are absolutely abysmal
1135,now imagine that every single one of those decisions was made wrong
1136,sadder has made a resume full of lousy amateurish films
1137,the performances are not improved by improvisation because the actors now have twice as much to worry about not only whether they're delivering the line well but whether the line itself is any good
1138,it is a film about nothing just a pretext to show ridiculous action scenes
1139,long whinny and pointless
1140,investigation not sure what he was trying to do with this film
1141,omit watching this
1142,this is not money-making
1143,the dialogue is atrociously
1144,it probably would have been better if the director hadn't spent most of the movie showcase his own art work which really isn't that noteworthy
1145,to those who find this movie intelligent or even masterful i can only say it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt it's in our human nature to try and make sense of things
1146,putting the race card aside lets look at the major flaw in the film they destroy lattice character
1147,the only possible way this movie could be redeemed would be as mysticisms fodder
1148,the budget was evidently very limited
1149,as for the killer don't expect anything original or even remotely frightening
1150,whatever the producer was going for he missed entirely
1151,then scene where they debated whether or not to sack the trumpeter who false was accused for the murder is pure horror really stupid
1152,overall this movie was cheap trash
1153,invest seen soap operas more intelligent than this movie
1154,but it's just not funny
1155,i mean in a realistic world she would never have gotten into that ballet repertory the whole thing was quite pathetic
1156,the malt settings are as dry and as barren as the dialogue
1157,i felt asleep the first time i watched it so i can recommend it for insomniacs
1158,won talk about awful
1159,all this movie does is make you sick watching all these slack make excuses for their stupid actions for 90 minutes
1160,the story line is totally predictable
1161,your brain will attempt to shutdown as part of a primal impulse of self-preservation
1162,it was so boring
1163,very disappointed and wondered how it could be in the oxcart shortly
1164,there were several moments in the movie that just didn't need to be there and were excruciating slow moving
1165,the plot has more holes than a pair of fish stockings and the direction and editing is astonishingly ham fisted
1166,but storm trooper is not even bad enough to make it to the list of wonderfully terrible movies
1167,the script is bad very bad it contains both chess and unmethodical joke that you normally see in rated r or nonce movie
1168,this would not even be good as a made for tva flick
1169,the chromatography it can be called tucked
1170,this scene is very strong and unpleasant
1171,speaking of the music it is unbearably predictably and kitchen
1172,hence the whole story lacks a certain energy
1173,the script is a big flaw mess
1174,unless you're just out to visually collect all extant films of austere work you can skip this one
1175,characters are one-time even the good guys and especially the bad guys
1176,it was just too horrible
1177,the lighting is awful
1178,not sure who was more lost the flat characters or the audience nearly half of whom walked out
1179,even if you love bad movies do not watch this movie
1180,her lines seem to have been written by a fifteen year old though they are trying oh so so hard to sound like how a fifteen year old would really um you know well talk
1181,investigation still trying to get over how bad it was
1182,camera again bad
1183,about ten minutes into this film i started having second thoughts
1184,bad script bad direction and horrible acting make this one plain bad
1185,and quite honestly often its not very good
1186,it's dumb and pointless and a complete waste of time
1187,there is a totally unnecessary train roller coasted scene
1188,the rest of the movie lacks art charm meaning if it's about emptiness it works i guess because it's empty
1189,attempting artfulness with black white and clever camera angles the movie disappointed became even more ridiculous as the acting was poor and the plot and lines almost non-existent
1190,it is zorrillas times away from reality
1191,this show is made for all-American it is too stupid and full with hatred and cliche to be admitted elsewhere
1192,i can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection
1193,but when someone strives for greatness and poetry but delivers a meddle and often ridiculous story a bunch of disparate scenes pretentious dialogue then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap
1194,the movie seemed a little slow at first
1195,it was housework
1196,the sound-truck sucked
1197,this was a poor remake of my best friends wedding
1198,the results well are a shame
1199,everything stink
1200,it is an insane game
1201,now you know why i gave it a 10
1202,in other words the content level of this film is enough to easily fill a dozen other films
1203,punishment park is a brilliant piece of cinema
1204,this is high adventure at its best
1205,okay i like to consider myself a fair critic so it'll give credit where credit due the creature effects were actually pretty cool
1206,if you do watch it however there are small consolation the actresses playing anyone's sisters each do a wonderful job with their roles
1207,kiss kerosene is good in this movie and really makes a difference
1208,the movie was very interesting from beginning to the end
1209,everything from acting to chromatography was solid
1210,the film's sole bright spot was journal hill who will look almost unrecognizable to fans of the recent superb due to the amount of weight he lost in the interim
1211,go and see it
1212,i believe every one should see this movie as i think few people outside of south allegorical understand its past and what is being attempted in the truth and reconciliation process
1213,it features an outlandish array of memorable psychotic but lovable nuts
1214,i saw it as a child on tva back in 1970 when it was the stranger and i loved it
1215,i rate this movie 9 10
1216,the best scene in the movie was when garage is trying to find a song that keeps running through his head
1217,i guess i liked the details of his distinction he was believable
1218,plus it was well-braced and suited its relatively short run time
1219,yet i enjoy watching it
1220,it's one of the movies i need to see whenever it comes on tva never mind the fact that i already have it memorized
1221,gotta love those close-up of slim drooping teeth
1222,my mother and brother had to do this when i saw robber ran portraying this type of man it was a very good imitation of this type of individual and i was impressed
1223,an instant classic with a great sound-truck and a catchy song during the ending credits
1224,mark my words this is one of those cult films like evil dead 2 or phantasy that people will still be discovering and falling in love with 20 30 40 years down the line
1225,i saw this film over christened and what a great film it was
1226,if you are looking for a movie with a terrific cast some good music including a shirt joblessness rendition of the way you look tonight and an uplift ending give this one a try
1227,still it was the sets that got a big 10 on my over scale
1228,funny clever hip just like pray previous film hyped-up
1229,this is the kind of money that is wasted properly
1230,the camera really likes her in this movie
1231,it's hard not to fall head-on in love with that girl
1232,the suspense builders were good just cross the line from g to primary
1233,predictable but not a bad watch
1234,the result is a power achievement made more timely now perhaps because of our culture's disturbing fascination with celebrity and it's distorted interpretations of fame
1235,the movie is not completely perfect but titter di glamorous will stay with you for a long time after the vision of the movie
1236,i struggle to find anything bad to say about it
1237,the writer germane beard undoubtedly did his housework because all references are industry and character appropriate
1238,hopefully the director jam con can turn the short into a feature length film with the same cast or win us over with a whole new film
1239,the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night
1240,this movie was kind of long in length but i enjoyed every minute of it
1241,despite the pans of reviewers i liked this movie
1242,however pause sadder has indeed made a film about mishap that is both superb complex
1243,but in terms of the writing it's very fresh and bold
1244,but it is entertaining nonetheless
1245,stevedore martini delivers a really funny performance of a middle-aged upper class upright white guy
1246,the cast of veteran actors are more than just a nostalgia trip
1247,how can anyone in their right mind ask for anything more from a movie than this
1248,totally different with loads of understatement and black comedy this is a film few get to see but those who do will remember it
1249,if there was ever a movie that needed worn-out to promote this is it
1250,you will leave the theater wanting to go out and dance under the stars
1251,the film is well paced understated and one of the best courtroom documentaries invest seen
1252,lovely little thrillers from hitch with lots of nice shenanigans surrounding a murdered spy a kidnapped child a nasty church a foreign plot and some random taxis
1253,the things that the four kids get themselves into is absolutely hilarious to watch
1254,some great music and terrific scenery
1255,the characters are interesting and you want to find out more about them the longer the movie goes on and i think people will be surprised by who does and doesn't make it
1256,i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is
1257,but this movie really got to me
1258,what makes this story different are the terrific production values faultless photography composition and editing the terrific casting the unappreciated brilliant keine playing a bully teddy and vivid history
1259,is pretty funny
1260,there is however some pretty good acting at least for this type of film
1261,the sets especially designed to work with the camera are amazing stylized beautiful and effective
1262,her role was played well
1263,that was nice
1264,for people who are first timers in film making i think they did an excellent job
1265,this film highlights the fundamental flaws of the legal process that it's not about discovering guilt or innocence but rather is about who presents better in court
1266,at a time when it seems that film animation has been dominated by dish pioneer's cringing masterpieces it is both refreshing and comforting to know that mistaking is still relying on traditional hand-me-down animation to tell his charming and enchanting stories
1267,i have seen many movies starring jacket smithy but my god this was one of her best though it came out 12 years ago
1268,still it makes up for all of this with a super ending that depict a great sea vessel being taken out by the mighty frost
1269,all in all a beautiful directed film from nice roemer win a sublime cast
1270,i was particularly pleased with the acting ability of deadweight scheduled
1271,the ending is so so perfect you'll shed a tear
1272,the scenery that the two daughters paint and photograph are beautiful
1273,in addition to having one of the most lovely songs ever written frequency can also boasts one of the cutest leading ladies ever to grace the screen
1274,also notable is john bail fine crisp beautifully colored chromatography and the great production design costumes by ein is who went on to do the memorable costumes for copolymers drawback for which she received a well deserved oxcart
1275,usurp button portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church
1276,however after seeing the short again after about 25 years i was amazed at how timeless the film actually is
1277,great movie
1278,it looked like a wonderful story
1279,kale batter is wonderful in her characters subtle desperation and escapist a variation on her character in at play in the fields of the lord
1280,you share general lovelies exquisite joy in his partaking of the called en sage even though you are just watching a movie but you do wish for just a small sample to savor
1281,kilowatt never ceases to amaze me
1282,the cast is good
1283,the stories were powerful explorations of the nature of man and of art
1284,stand and morgen are perfectly cast in what is in many ways a modern equivalent of dicks christened carob in its sensibility
1285,the last 15 minutes of movie are also not bad as well
1286,this movie is possibly one of the most creative works of horror ever
1287,excellent cast story line performances
1288,feelings thoughts gab discomfort during the dance all these intangibles leap to life and come within the viewer grasp in hustle portrayal
1289,it was clear that she had the range and ability to pull off this part
1290,she's poised and amazing
1291,there still are good actors around
1292,and his subtle connections between the three films are awesome
1293,i thought error fly was brilliant as cluster and has since become my favorite actor
1294,julep fellow has triumph again
1295,you won't forget this movie
1296,three of the most visually appealing movies invest ever seen
1297,i like armata assailant my cable company's summary sounded interesting so i watched it twice already and probably will again
1298,it was so funny
1299,if good intentions made a film great then this film might be one of the greatest films ever made
1300,this if the first movie invest given a 10 to in years
1301,i advise you to look out for it
1302,i am so pleased to know such a modern day genius is out there letting is passion for art drive him and taking us as an audience with him
1303,special mention should be made of the superb music score and sound effects which are an integral element in helping to make this such a memorable and enjoyable cartoon
1304,the film deserves strong kaleidoscope for taking this stand for having exceptional acting from its mostly lesser-known cast and for the superintend script that doesn't insult the audience or take the easy way out when it comes to white racists
1305,i especially liked the non-church choices with the parents in other movies i could predict the dialogue verbatim but the writing in this movie made better selections
1306,each track commands sentiment actually contributing to the scenes and characters
